Gene stable ID	Protein stable ID
ENSJJAG00000000063	ENSJJAP00000000041
ENSJJAG00000000064	ENSJJAP00000000043
ENSJJAG00000000065	ENSJJAP00000000042
ENSJJAG00000000066	ENSJJAP00000000045
ENSJJAG00000000067	ENSJJAP00000000056
ENSJJAG00000000068	ENSJJAP00000000046
ENSJJAG00000000069	ENSJJAP00000000047
ENSJJAG00000000070	ENSJJAP00000000049
ENSJJAG00000000071	ENSJJAP00000000048
ENSJJAG00000000072	ENSJJAP00000000050
ENSJJAG00000000073	ENSJJAP00000000051
ENSJJAG00000000074	ENSJJAP00000000053
ENSJJAG00000000075	ENSJJAP00000000054
ENSJJAG00000000076	ENSJJAP00000000052
ENSJJAG00000000077	ENSJJAP00000000055
ENSJJAG00000000078	ENSJJAP00000000063
ENSJJAG00000000079	ENSJJAP00000000058
ENSJJAG00000000080	ENSJJAP00000000057
ENSJJAG00000000081	ENSJJAP00000000059
ENSJJAG00000000082	ENSJJAP00000000061
ENSJJAG00000000082	ENSJJAP00000000062
ENSJJAG00000000083	ENSJJAP00000000060
ENSJJAG00000000084	ENSJJAP00000000065
ENSJJAG00000000085	ENSJJAP00000000064
ENSJJAG00000000085	ENSJJAP00000000066
ENSJJAG00000000086	ENSJJAP00000000068
ENSJJAG00000000087	ENSJJAP00000000067
ENSJJAG00000000088	ENSJJAP00000000070
ENSJJAG00000000088	ENSJJAP00000000071
ENSJJAG00000000089	ENSJJAP00000000073
ENSJJAG00000000090	ENSJJAP00000000069
ENSJJAG00000000091	ENSJJAP00000000074
ENSJJAG00000000091	ENSJJAP00000000075
ENSJJAG00000000092	ENSJJAP00000000072
ENSJJAG00000000093	ENSJJAP00000000080
ENSJJAG00000000094	ENSJJAP00000000079
ENSJJAG00000000095	ENSJJAP00000000077
ENSJJAG00000000096	ENSJJAP00000000076
ENSJJAG00000000097	ENSJJAP00000000078
ENSJJAG00000000098	ENSJJAP00000000081
ENSJJAG00000000099	ENSJJAP00000000082
ENSJJAG00000000100	ENSJJAP00000000083
ENSJJAG00000000101	ENSJJAP00000000084
ENSJJAG00000000102	ENSJJAP00000000085
ENSJJAG00000000102	ENSJJAP00000000088
ENSJJAG00000000103	ENSJJAP00000000086
ENSJJAG00000000104	ENSJJAP00000000087
ENSJJAG00000000105	ENSJJAP00000000089
ENSJJAG00000000106	ENSJJAP00000000092
ENSJJAG00000000106	ENSJJAP00000000094
ENSJJAG00000000107	ENSJJAP00000000090
ENSJJAG00000000108	ENSJJAP00000000091
ENSJJAG00000000108	ENSJJAP00000000093
ENSJJAG00000000109	ENSJJAP00000000095
ENSJJAG00000000110	ENSJJAP00000000100
ENSJJAG00000000111	ENSJJAP00000000096
ENSJJAG00000000112	ENSJJAP00000000097
ENSJJAG00000000113	ENSJJAP00000000101
ENSJJAG00000000113	ENSJJAP00000000104
ENSJJAG00000000114	ENSJJAP00000000099
ENSJJAG00000000115	ENSJJAP00000000098
ENSJJAG00000000116	ENSJJAP00000000110
ENSJJAG00000000116	ENSJJAP00000000112
ENSJJAG00000000116	ENSJJAP00000000113
ENSJJAG00000000117	ENSJJAP00000000105
ENSJJAG00000000117	ENSJJAP00000000107
ENSJJAG00000000117	ENSJJAP00000000108
ENSJJAG00000000118	ENSJJAP00000000106
ENSJJAG00000000119	ENSJJAP00000000102
ENSJJAG00000000120	ENSJJAP00000000103
ENSJJAG00000000121	ENSJJAP00000000109
ENSJJAG00000000122	ENSJJAP00000000111
ENSJJAG00000000123	ENSJJAP00000000117
ENSJJAG00000000124	ENSJJAP00000000121
ENSJJAG00000000124	ENSJJAP00000000124
ENSJJAG00000000125	ENSJJAP00000000188
ENSJJAG00000000125	ENSJJAP00000000202
ENSJJAG00000000126	ENSJJAP00000000118
ENSJJAG00000000126	ENSJJAP00000000120
ENSJJAG00000000127	ENSJJAP00000000114
ENSJJAG00000000127	ENSJJAP00000000116
ENSJJAG00000000128	ENSJJAP00000000115
ENSJJAG00000000129	ENSJJAP00000000122
ENSJJAG00000000129	ENSJJAP00000000123
ENSJJAG00000000130	ENSJJAP00000000127
ENSJJAG00000000130	ENSJJAP00000000128
ENSJJAG00000000131	ENSJJAP00000000132
ENSJJAG00000000131	ENSJJAP00000000135
ENSJJAG00000000132	ENSJJAP00000000119
ENSJJAG00000000133	ENSJJAP00000000129
ENSJJAG00000000134	ENSJJAP00000000125
ENSJJAG00000000135	ENSJJAP00000000126
ENSJJAG00000000136	ENSJJAP00000000143
ENSJJAG00000000136	ENSJJAP00000000150
ENSJJAG00000000136	ENSJJAP00000000155
ENSJJAG00000000137	ENSJJAP00000000130
ENSJJAG00000000138	ENSJJAP00000000131
ENSJJAG00000000139	ENSJJAP00000000140
ENSJJAG00000000140	ENSJJAP00000000138
ENSJJAG00000000140	ENSJJAP00000000142
ENSJJAG00000000141	ENSJJAP00000000144
ENSJJAG00000000141	ENSJJAP00000000159
ENSJJAG00000000141	ENSJJAP00000000161
ENSJJAG00000000142	ENSJJAP00000000133
ENSJJAG00000000143	ENSJJAP00000000151
ENSJJAG00000000144	ENSJJAP00000000156
ENSJJAG00000000145	ENSJJAP00000000141
ENSJJAG00000000146	ENSJJAP00000000134
ENSJJAG00000000147	ENSJJAP00000000152
ENSJJAG00000000147	ENSJJAP00000000154
ENSJJAG00000000148	ENSJJAP00000000136
ENSJJAG00000000149	ENSJJAP00000000165
ENSJJAG00000000149	ENSJJAP00000000167
ENSJJAG00000000150	ENSJJAP00000000137
ENSJJAG00000000151	ENSJJAP00000000139
ENSJJAG00000000152	ENSJJAP00000000145
ENSJJAG00000000153	ENSJJAP00000000208
ENSJJAG00000000153	ENSJJAP00000000216
ENSJJAG00000000153	ENSJJAP00000000221
ENSJJAG00000000154	ENSJJAP00000000149
ENSJJAG00000000155	ENSJJAP00000000146
ENSJJAG00000000156	ENSJJAP00000000147
ENSJJAG00000000157	ENSJJAP00000000148
ENSJJAG00000000158	ENSJJAP00000000187
ENSJJAG00000000159	ENSJJAP00000000153
ENSJJAG00000000160	ENSJJAP00000000158
ENSJJAG00000000161	ENSJJAP00000000157
ENSJJAG00000000162	ENSJJAP00000000164
ENSJJAG00000000163	ENSJJAP00000000160
ENSJJAG00000000164	ENSJJAP00000000162
ENSJJAG00000000165	ENSJJAP00000000166
ENSJJAG00000000166	ENSJJAP00000000163
ENSJJAG00000000167	ENSJJAP00000000169
ENSJJAG00000000168	ENSJJAP00000000168
ENSJJAG00000000169	ENSJJAP00000000170
ENSJJAG00000000170	ENSJJAP00000000181
ENSJJAG00000000170	ENSJJAP00000000185
ENSJJAG00000000172	ENSJJAP00000000171
ENSJJAG00000000173	ENSJJAP00000000177
ENSJJAG00000000173	ENSJJAP00000000182
ENSJJAG00000000174	ENSJJAP00000000174
ENSJJAG00000000174	ENSJJAP00000000176
ENSJJAG00000000175	ENSJJAP00000000172
ENSJJAG00000000176	ENSJJAP00000000173
ENSJJAG00000000177	ENSJJAP00000000175
ENSJJAG00000000178	ENSJJAP00000000180
ENSJJAG00000000178	ENSJJAP00000000184
ENSJJAG00000000179	ENSJJAP00000000179
ENSJJAG00000000180	ENSJJAP00000000178
ENSJJAG00000000181	ENSJJAP00000000183
ENSJJAG00000000181	ENSJJAP00000000186
ENSJJAG00000000182	ENSJJAP00000000193
ENSJJAG00000000183	ENSJJAP00000000190
ENSJJAG00000000184	ENSJJAP00000000189
ENSJJAG00000000185	ENSJJAP00000000192
ENSJJAG00000000186	ENSJJAP00000000194
ENSJJAG00000000187	ENSJJAP00000000191
ENSJJAG00000000188	ENSJJAP00000000195
ENSJJAG00000000188	ENSJJAP00000000198
ENSJJAG00000000189	ENSJJAP00000000196
ENSJJAG00000000190	ENSJJAP00000000203
ENSJJAG00000000191	ENSJJAP00000000197
ENSJJAG00000000192	ENSJJAP00000000205
ENSJJAG00000000192	ENSJJAP00000000209
ENSJJAG00000000193	ENSJJAP00000000206
ENSJJAG00000000193	ENSJJAP00000000210
ENSJJAG00000000193	ENSJJAP00000000212
ENSJJAG00000000194	ENSJJAP00000000200
ENSJJAG00000000195	ENSJJAP00000000199
ENSJJAG00000000196	ENSJJAP00000000204
ENSJJAG00000000197	ENSJJAP00000000201
ENSJJAG00000000198	ENSJJAP00000000207
ENSJJAG00000000199	ENSJJAP00000000213
ENSJJAG00000000200	ENSJJAP00000000211
ENSJJAG00000000201	ENSJJAP00000000215
ENSJJAG00000000202	ENSJJAP00000000222
ENSJJAG00000000203	ENSJJAP00000000214
ENSJJAG00000000204	ENSJJAP00000000218
ENSJJAG00000000205	ENSJJAP00000000217
ENSJJAG00000000206	ENSJJAP00000000219
ENSJJAG00000000207	ENSJJAP00000000223
ENSJJAG00000000208	ENSJJAP00000000233
ENSJJAG00000000208	ENSJJAP00000000237
ENSJJAG00000000209	ENSJJAP00000000220
ENSJJAG00000000210	ENSJJAP00000000225
ENSJJAG00000000211	ENSJJAP00000000242
ENSJJAG00000000212	ENSJJAP00000000224
ENSJJAG00000000212	ENSJJAP00000000229
ENSJJAG00000000213	ENSJJAP00000000232
ENSJJAG00000000213	ENSJJAP00000000234
ENSJJAG00000000214	ENSJJAP00000000227
ENSJJAG00000000215	ENSJJAP00000000226
ENSJJAG00000000216	ENSJJAP00000000230
ENSJJAG00000000217	ENSJJAP00000000228
ENSJJAG00000000218	ENSJJAP00000000231
ENSJJAG00000000219	ENSJJAP00000000244
ENSJJAG00000000219	ENSJJAP00000000246
ENSJJAG00000000219	ENSJJAP00000000251
ENSJJAG00000000220	ENSJJAP00000000235
ENSJJAG00000000221	ENSJJAP00000000240
ENSJJAG00000000222	ENSJJAP00000000253
ENSJJAG00000000222	ENSJJAP00000000255
ENSJJAG00000000223	ENSJJAP00000000236
ENSJJAG00000000224	ENSJJAP00000000239
ENSJJAG00000000225	ENSJJAP00000000238
ENSJJAG00000000227	ENSJJAP00000000245
ENSJJAG00000000227	ENSJJAP00000000249
ENSJJAG00000000227	ENSJJAP00000000252
ENSJJAG00000000228	ENSJJAP00000000247
ENSJJAG00000000229	ENSJJAP00000000241
ENSJJAG00000000230	ENSJJAP00000000243
ENSJJAG00000000231	ENSJJAP00000000248
ENSJJAG00000000232	ENSJJAP00000000262
ENSJJAG00000000232	ENSJJAP00000000265
ENSJJAG00000000233	ENSJJAP00000000250
ENSJJAG00000000234	ENSJJAP00000000261
ENSJJAG00000000234	ENSJJAP00000000264
ENSJJAG00000000235	ENSJJAP00000000281
ENSJJAG00000000236	ENSJJAP00000000254
ENSJJAG00000000238	ENSJJAP00000000292
ENSJJAG00000000238	ENSJJAP00000000297
ENSJJAG00000000238	ENSJJAP00000000302
ENSJJAG00000000239	ENSJJAP00000000259
ENSJJAG00000000240	ENSJJAP00000000257
ENSJJAG00000000241	ENSJJAP00000000258
ENSJJAG00000000242	ENSJJAP00000000256
ENSJJAG00000000243	ENSJJAP00000000268
ENSJJAG00000000243	ENSJJAP00000000271
ENSJJAG00000000243	ENSJJAP00000000272
ENSJJAG00000000244	ENSJJAP00000000266
ENSJJAG00000000244	ENSJJAP00000000269
ENSJJAG00000000245	ENSJJAP00000000260
ENSJJAG00000000246	ENSJJAP00000000263
ENSJJAG00000000247	ENSJJAP00000000267
ENSJJAG00000000248	ENSJJAP00000000270
ENSJJAG00000000249	ENSJJAP00000000282
ENSJJAG00000000250	ENSJJAP00000000275
ENSJJAG00000000251	ENSJJAP00000000273
ENSJJAG00000000252	ENSJJAP00000000276
ENSJJAG00000000254	ENSJJAP00000000274
ENSJJAG00000000255	ENSJJAP00000000294
ENSJJAG00000000255	ENSJJAP00000000300
ENSJJAG00000000255	ENSJJAP00000000303
ENSJJAG00000000256	ENSJJAP00000000289
ENSJJAG00000000256	ENSJJAP00000000414
ENSJJAG00000000256	ENSJJAP00000000427
ENSJJAG00000000257	ENSJJAP00000000304
ENSJJAG00000000258	ENSJJAP00000000277
ENSJJAG00000000259	ENSJJAP00000000284
ENSJJAG00000000260	ENSJJAP00000000279
ENSJJAG00000000261	ENSJJAP00000000283
ENSJJAG00000000262	ENSJJAP00000000286
ENSJJAG00000000263	ENSJJAP00000000278
ENSJJAG00000000264	ENSJJAP00000000301
ENSJJAG00000000265	ENSJJAP00000000291
ENSJJAG00000000265	ENSJJAP00000000293
ENSJJAG00000000266	ENSJJAP00000000280
ENSJJAG00000000267	ENSJJAP00000000298
ENSJJAG00000000268	ENSJJAP00000000285
ENSJJAG00000000269	ENSJJAP00000000288
ENSJJAG00000000270	ENSJJAP00000000306
ENSJJAG00000000271	ENSJJAP00000000290
ENSJJAG00000000272	ENSJJAP00000000287
ENSJJAG00000000273	ENSJJAP00000000309
ENSJJAG00000000274	ENSJJAP00000000295
ENSJJAG00000000275	ENSJJAP00000000296
ENSJJAG00000000276	ENSJJAP00000000336
ENSJJAG00000000276	ENSJJAP00000000342
ENSJJAG00000000276	ENSJJAP00000000347
ENSJJAG00000000276	ENSJJAP00000000352
ENSJJAG00000000276	ENSJJAP00000000355
ENSJJAG00000000277	ENSJJAP00000000299
ENSJJAG00000000278	ENSJJAP00000000305
ENSJJAG00000000279	ENSJJAP00000000307
ENSJJAG00000000279	ENSJJAP00000000311
ENSJJAG00000000280	ENSJJAP00000000310
ENSJJAG00000000280	ENSJJAP00000000314
ENSJJAG00000000282	ENSJJAP00000000313
ENSJJAG00000000282	ENSJJAP00000000316
ENSJJAG00000000282	ENSJJAP00000000319
ENSJJAG00000000283	ENSJJAP00000000308
ENSJJAG00000000284	ENSJJAP00000000312
ENSJJAG00000000285	ENSJJAP00000000317
ENSJJAG00000000286	ENSJJAP00000000318
ENSJJAG00000000286	ENSJJAP00000000320
ENSJJAG00000000287	ENSJJAP00000000363
ENSJJAG00000000287	ENSJJAP00000000366
ENSJJAG00000000288	ENSJJAP00000000315
ENSJJAG00000000289	ENSJJAP00000000338
ENSJJAG00000000290	ENSJJAP00000000370
ENSJJAG00000000290	ENSJJAP00000000372
ENSJJAG00000000290	ENSJJAP00000000380
ENSJJAG00000000291	ENSJJAP00000000329
ENSJJAG00000000292	ENSJJAP00000000324
ENSJJAG00000000293	ENSJJAP00000000322
ENSJJAG00000000294	ENSJJAP00000000350
ENSJJAG00000000295	ENSJJAP00000000353
ENSJJAG00000000296	ENSJJAP00000000330
ENSJJAG00000000297	ENSJJAP00000000323
ENSJJAG00000000297	ENSJJAP00000000331
ENSJJAG00000000298	ENSJJAP00000000326
ENSJJAG00000000299	ENSJJAP00000000341
ENSJJAG00000000300	ENSJJAP00000000340
ENSJJAG00000000301	ENSJJAP00000000321
ENSJJAG00000000302	ENSJJAP00000000381
ENSJJAG00000000302	ENSJJAP00000000385
ENSJJAG00000000302	ENSJJAP00000000390
ENSJJAG00000000303	ENSJJAP00000000325
ENSJJAG00000000303	ENSJJAP00000000328
ENSJJAG00000000304	ENSJJAP00000000357
ENSJJAG00000000304	ENSJJAP00000000359
ENSJJAG00000000304	ENSJJAP00000000361
ENSJJAG00000000305	ENSJJAP00000000402
ENSJJAG00000000306	ENSJJAP00000000327
ENSJJAG00000000307	ENSJJAP00000000478
ENSJJAG00000000307	ENSJJAP00000000485
ENSJJAG00000000307	ENSJJAP00000000487
ENSJJAG00000000308	ENSJJAP00000000333
ENSJJAG00000000309	ENSJJAP00000000332
ENSJJAG00000000310	ENSJJAP00000000339
ENSJJAG00000000310	ENSJJAP00000000343
ENSJJAG00000000311	ENSJJAP00000000335
ENSJJAG00000000312	ENSJJAP00000000334
ENSJJAG00000000312	ENSJJAP00000000337
ENSJJAG00000000313	ENSJJAP00000000346
ENSJJAG00000000313	ENSJJAP00000000351
ENSJJAG00000000314	ENSJJAP00000000344
ENSJJAG00000000315	ENSJJAP00000000348
ENSJJAG00000000316	ENSJJAP00000000345
ENSJJAG00000000317	ENSJJAP00000000349
ENSJJAG00000000318	ENSJJAP00000000354
ENSJJAG00000000319	ENSJJAP00000000362
ENSJJAG00000000319	ENSJJAP00000000367
ENSJJAG00000000320	ENSJJAP00000000364
ENSJJAG00000000320	ENSJJAP00000000368
ENSJJAG00000000321	ENSJJAP00000000356
ENSJJAG00000000322	ENSJJAP00000000360
ENSJJAG00000000323	ENSJJAP00000000373
ENSJJAG00000000324	ENSJJAP00000000358
ENSJJAG00000000325	ENSJJAP00000000365
ENSJJAG00000000326	ENSJJAP00000000369
ENSJJAG00000000327	ENSJJAP00000000371
ENSJJAG00000000328	ENSJJAP00000000376
ENSJJAG00000000329	ENSJJAP00000000375
ENSJJAG00000000329	ENSJJAP00000000384
ENSJJAG00000000330	ENSJJAP00000000396
ENSJJAG00000000330	ENSJJAP00000000405
ENSJJAG00000000331	ENSJJAP00000000374
ENSJJAG00000000332	ENSJJAP00000000382
ENSJJAG00000000333	ENSJJAP00000000391
ENSJJAG00000000333	ENSJJAP00000000392
ENSJJAG00000000333	ENSJJAP00000000395
ENSJJAG00000000334	ENSJJAP00000000383
ENSJJAG00000000334	ENSJJAP00000000389
ENSJJAG00000000335	ENSJJAP00000000379
ENSJJAG00000000336	ENSJJAP00000000377
ENSJJAG00000000337	ENSJJAP00000000388
ENSJJAG00000000338	ENSJJAP00000000415
ENSJJAG00000000338	ENSJJAP00000000422
ENSJJAG00000000339	ENSJJAP00000000378
ENSJJAG00000000340	ENSJJAP00000000386
ENSJJAG00000000341	ENSJJAP00000000394
ENSJJAG00000000341	ENSJJAP00000000397
ENSJJAG00000000342	ENSJJAP00000000387
ENSJJAG00000000343	ENSJJAP00000000399
ENSJJAG00000000343	ENSJJAP00000000401
ENSJJAG00000000343	ENSJJAP00000000408
ENSJJAG00000000343	ENSJJAP00000000413
ENSJJAG00000000344	ENSJJAP00000000393
ENSJJAG00000000345	ENSJJAP00000000453
ENSJJAG00000000345	ENSJJAP00000000461
ENSJJAG00000000346	ENSJJAP00000000438
ENSJJAG00000000346	ENSJJAP00000000441
ENSJJAG00000000346	ENSJJAP00000000450
ENSJJAG00000000347	ENSJJAP00000000448
ENSJJAG00000000347	ENSJJAP00000000451
ENSJJAG00000000348	ENSJJAP00000000410
ENSJJAG00000000349	ENSJJAP00000000400
ENSJJAG00000000349	ENSJJAP00000000406
ENSJJAG00000000350	ENSJJAP00000000398
ENSJJAG00000000351	ENSJJAP00000000418
ENSJJAG00000000352	ENSJJAP00000000403
ENSJJAG00000000352	ENSJJAP00000000412
ENSJJAG00000000353	ENSJJAP00000000409
ENSJJAG00000000354	ENSJJAP00000000421
ENSJJAG00000000355	ENSJJAP00000000404
ENSJJAG00000000356	ENSJJAP00000000407
ENSJJAG00000000357	ENSJJAP00000000411
ENSJJAG00000000358	ENSJJAP00000000492
ENSJJAG00000000358	ENSJJAP00000000504
ENSJJAG00000000359	ENSJJAP00000000416
ENSJJAG00000000359	ENSJJAP00000000420
ENSJJAG00000000360	ENSJJAP00000000417
ENSJJAG00000000361	ENSJJAP00000000419
ENSJJAG00000000361	ENSJJAP00000000423
ENSJJAG00000000363	ENSJJAP00000000429
ENSJJAG00000000364	ENSJJAP00000000424
ENSJJAG00000000365	ENSJJAP00000000425
ENSJJAG00000000366	ENSJJAP00000000426
ENSJJAG00000000367	ENSJJAP00000000428
ENSJJAG00000000368	ENSJJAP00000000435
ENSJJAG00000000369	ENSJJAP00000000432
ENSJJAG00000000370	ENSJJAP00000000499
ENSJJAG00000000371	ENSJJAP00000000430
ENSJJAG00000000372	ENSJJAP00000000437
ENSJJAG00000000373	ENSJJAP00000000440
ENSJJAG00000000373	ENSJJAP00000000444
ENSJJAG00000000374	ENSJJAP00000000456
ENSJJAG00000000374	ENSJJAP00000000466
ENSJJAG00000000375	ENSJJAP00000000462
ENSJJAG00000000375	ENSJJAP00000000464
ENSJJAG00000000376	ENSJJAP00000000442
ENSJJAG00000000376	ENSJJAP00000000446
ENSJJAG00000000377	ENSJJAP00000000433
ENSJJAG00000000378	ENSJJAP00000000431
ENSJJAG00000000379	ENSJJAP00000000436
ENSJJAG00000000379	ENSJJAP00000000439
ENSJJAG00000000380	ENSJJAP00000000434
ENSJJAG00000000381	ENSJJAP00000000445
ENSJJAG00000000382	ENSJJAP00000000463
ENSJJAG00000000383	ENSJJAP00000000443
ENSJJAG00000000384	ENSJJAP00000000447
ENSJJAG00000000385	ENSJJAP00000000460
ENSJJAG00000000386	ENSJJAP00000000452
ENSJJAG00000000387	ENSJJAP00000000449
ENSJJAG00000000388	ENSJJAP00000000458
ENSJJAG00000000389	ENSJJAP00000000459
ENSJJAG00000000390	ENSJJAP00000000614
ENSJJAG00000000390	ENSJJAP00000000623
ENSJJAG00000000391	ENSJJAP00000000457
ENSJJAG00000000392	ENSJJAP00000000454
ENSJJAG00000000393	ENSJJAP00000000480
ENSJJAG00000000394	ENSJJAP00000000455
ENSJJAG00000000395	ENSJJAP00000000468
ENSJJAG00000000395	ENSJJAP00000000470
ENSJJAG00000000396	ENSJJAP00000000488
ENSJJAG00000000396	ENSJJAP00000000498
ENSJJAG00000000396	ENSJJAP00000000509
ENSJJAG00000000397	ENSJJAP00000000465
ENSJJAG00000000398	ENSJJAP00000000467
ENSJJAG00000000399	ENSJJAP00000000523
ENSJJAG00000000399	ENSJJAP00000000526
ENSJJAG00000000400	ENSJJAP00000000469
ENSJJAG00000000401	ENSJJAP00000000477
ENSJJAG00000000402	ENSJJAP00000000490
ENSJJAG00000000402	ENSJJAP00000000494
ENSJJAG00000000402	ENSJJAP00000000506
ENSJJAG00000000402	ENSJJAP00000000513
ENSJJAG00000000403	ENSJJAP00000000471
ENSJJAG00000000404	ENSJJAP00000000510
ENSJJAG00000000405	ENSJJAP00000000479
ENSJJAG00000000406	ENSJJAP00000000472
ENSJJAG00000000407	ENSJJAP00000000475
ENSJJAG00000000408	ENSJJAP00000000483
ENSJJAG00000000409	ENSJJAP00000000474
ENSJJAG00000000410	ENSJJAP00000000501
ENSJJAG00000000410	ENSJJAP00000000508
ENSJJAG00000000411	ENSJJAP00000000473
ENSJJAG00000000412	ENSJJAP00000000482
ENSJJAG00000000413	ENSJJAP00000000484
ENSJJAG00000000414	ENSJJAP00000000481
ENSJJAG00000000415	ENSJJAP00000000476
ENSJJAG00000000416	ENSJJAP00000000502
ENSJJAG00000000416	ENSJJAP00000000514
ENSJJAG00000000417	ENSJJAP00000000503
ENSJJAG00000000419	ENSJJAP00000000496
ENSJJAG00000000420	ENSJJAP00000000486
ENSJJAG00000000421	ENSJJAP00000000493
ENSJJAG00000000421	ENSJJAP00000000500
ENSJJAG00000000422	ENSJJAP00000000550
ENSJJAG00000000423	ENSJJAP00000000515
ENSJJAG00000000423	ENSJJAP00000000521
ENSJJAG00000000424	ENSJJAP00000000630
ENSJJAG00000000424	ENSJJAP00000000636
ENSJJAG00000000425	ENSJJAP00000000489
ENSJJAG00000000426	ENSJJAP00000000505
ENSJJAG00000000426	ENSJJAP00000000520
ENSJJAG00000000427	ENSJJAP00000000522
ENSJJAG00000000428	ENSJJAP00000000491
ENSJJAG00000000429	ENSJJAP00000000507
ENSJJAG00000000429	ENSJJAP00000000512
ENSJJAG00000000430	ENSJJAP00000000495
ENSJJAG00000000431	ENSJJAP00000000497
ENSJJAG00000000432	ENSJJAP00000000525
ENSJJAG00000000432	ENSJJAP00000000532
ENSJJAG00000000433	ENSJJAP00000000606
ENSJJAG00000000433	ENSJJAP00000000610
ENSJJAG00000000434	ENSJJAP00000000511
ENSJJAG00000000435	ENSJJAP00000000516
ENSJJAG00000000436	ENSJJAP00000000559
ENSJJAG00000000436	ENSJJAP00000000565
ENSJJAG00000000436	ENSJJAP00000000572
ENSJJAG00000000436	ENSJJAP00000000574
ENSJJAG00000000437	ENSJJAP00000000517
ENSJJAG00000000438	ENSJJAP00000000519
ENSJJAG00000000440	ENSJJAP00000000518
ENSJJAG00000000441	ENSJJAP00000000524
ENSJJAG00000000442	ENSJJAP00000000531
ENSJJAG00000000443	ENSJJAP00000000535
ENSJJAG00000000444	ENSJJAP00000000580
ENSJJAG00000000445	ENSJJAP00000000567
ENSJJAG00000000446	ENSJJAP00000000527
ENSJJAG00000000447	ENSJJAP00000000529
ENSJJAG00000000448	ENSJJAP00000000530
ENSJJAG00000000449	ENSJJAP00000000533
ENSJJAG00000000450	ENSJJAP00000000566
ENSJJAG00000000450	ENSJJAP00000000571
ENSJJAG00000000451	ENSJJAP00000000553
ENSJJAG00000000452	ENSJJAP00000000541
ENSJJAG00000000453	ENSJJAP00000000548
ENSJJAG00000000453	ENSJJAP00000000555
ENSJJAG00000000454	ENSJJAP00000000547
ENSJJAG00000000454	ENSJJAP00000000554
ENSJJAG00000000455	ENSJJAP00000000540
ENSJJAG00000000456	ENSJJAP00000000558
ENSJJAG00000000457	ENSJJAP00000000546
ENSJJAG00000000457	ENSJJAP00000000551
ENSJJAG00000000458	ENSJJAP00000000528
ENSJJAG00000000458	ENSJJAP00000000538
ENSJJAG00000000459	ENSJJAP00000000544
ENSJJAG00000000460	ENSJJAP00000000552
ENSJJAG00000000460	ENSJJAP00000000557
ENSJJAG00000000461	ENSJJAP00000000536
ENSJJAG00000000461	ENSJJAP00000000539
ENSJJAG00000000461	ENSJJAP00000000549
ENSJJAG00000000461	ENSJJAP00000000556
ENSJJAG00000000462	ENSJJAP00000000583
ENSJJAG00000000462	ENSJJAP00000000588
ENSJJAG00000000462	ENSJJAP00000000600
ENSJJAG00000000463	ENSJJAP00000000534
ENSJJAG00000000463	ENSJJAP00000000537
ENSJJAG00000000463	ENSJJAP00000000542
ENSJJAG00000000464	ENSJJAP00000000543
ENSJJAG00000000465	ENSJJAP00000000561
ENSJJAG00000000465	ENSJJAP00000000568
ENSJJAG00000000466	ENSJJAP00000000545
ENSJJAG00000000467	ENSJJAP00000000595
ENSJJAG00000000468	ENSJJAP00000000563
ENSJJAG00000000469	ENSJJAP00000000560
ENSJJAG00000000470	ENSJJAP00000000564
ENSJJAG00000000471	ENSJJAP00000000562
